text,subject,label,predicted
"Thanks for your purchase Date:May 16,2002. Email:edum@hkem.com. Dear Sir, I am Mr.Eduado de Mello, one of the Principal Commanders of the Union for the Total Independence of Angola,UNITA.Well needless telling a very long story here for our story is indeed interwoven with the history of the world and the liberation struggle in the Southern African region of the African continent. The bubble burst just about some weeks ago today when my supreme commander, the late Dr.Jonas Savimbi was killed in an encounter with the government forces of the MPLA government of my country.The rest is now history but suffice it to say that I am tired of the unfortunate role of waging a war against my fatherland.I have therefore decided to pull out my troupes from the bush even if the other field commanders decide otherwise am therefore poised to effect a new beginning in my life and I have decided to make South Africa my new home at least for the interim period until I am sufficiently sure that I would be welcome home whole heartedly by the MPLA government in Luanda the capital of Angola. Needles to say I was the single most important commander who was very close to the late supreme commander; Dr.Jonas Savimbi.Indeed because I am a brother to one of his wives,he confided in me a great deal.The result of such trust is my reason for contacting you I was the commander whom he sent to deposit the sum of Thirty two million USD ($32million) with a security/finance company in South Africa.This was immediately after the events of September 11,2001 in the United States of America.Indeed it had become increasingly difficult to move large volumes of money around the world particularly for a liberation movement like UNITA hence the recourse to keeping the money with the security company in South Africa. I have decided to inherit this money which was taken out and deposited with the said security/finance company as cash in Hundred dollar denominations.The money is kept in my signature and would have been used in the purchase of arms and ammunition for the purposes of continuing the civil war in Angola.The supreme commander is dead and as already stated I have decided to quite the whole thing and this is without regard to the fact that other commanders may wish to continue ! I want to cooperate with you in my decision to inherit the $32million.I am still in the bush here but I have been able to establish contact with the company in South Africa to the effect that I would soon come to take possession of the money that I kept with them. Note also that I deposited the money as a foreign national who is the head of a Mining company in Angola (Never as a commander of UNITA). If you are able to cooperate with me over this am willing to give you 20% of the $32million.Please come back to me through email: edum@hkem.com.The security/finance company is standing by to receive my instructions on this and I will link you up with them as soon as you are ready to take possession of the $32million. Finally you are to note that in you reply, you are to state your residential or company address and if possible send a copy of your international passport so as to assure me that my money is safe in your hands. Yours truly, Eduado de Mello _______________________________________________ dcms-dev mailing list dcms-dev@eros.cs.jhu.edu",Thanks for your purchase,1,0
"Document shared with you Authorize Log In Attempt You have a new Mail from E*TRADE online security system. An invalid login attempts into your online and email Please click on the link to verify your account: Authorize Log In Please don't reply directly to this automatically-generated e-mail message. Sincerely, E*Trade Online Banking Team E*TRADE Online security system. © 2021 FMR LLC. All rights reserved.",Document shared with you,1,0
"Your order #846290 has been cancelled returned mail : see transcript for details the original message was received at mon , 6 dec 2004 13 : 02 : 57 + 0900 ( kst ) from bzgakxfu @ [ 165 . 194 . 27 . 111 ] - - - - - the following addresses had permanent fatal errors - - - - - bill @ epfl . ch ( reason : 550 bill @ epfl . ch unknown mailbox ) - - - - - transcript of session follows - - - - - . . . while talking to smtp 2 . epfl . ch . : rcpt to : bill @ epfl . ch 550 bill @ epfl . ch unknown mailbox 550 5 . 1 . 1 bill @ epfl . ch . . . user unknown",Your order #846290 has been cancelled,1,0
"Netflix: Update your billing information Now is the perfect time to visit Costa Rica e map at hazard. Not only did the Russians not fortify the position on the field of Borodino to the left of, and at a right angle to, the highroad (that is, the position on which the battle took place), but never till the twenty-fifth of August, 1812, did they think that a battle might be fought there. This was shown first by the fact that there were no entrenchments there by the twenty fifth and that those begun on the twenty-fifth and twenty-sixth were not completed, and secondly, by the position of the Shevardino Redoubt. That redoubt was quite senseless in front of the position where the battle was accepted. Why was it more strongly fortified than any other post? And why were all efforts exhausted and six thousand men sacrificed to defend it till late at night on the twenty-fourth? A Cossack patrol would have sufficed to observe the enemy. Thirdly, as proof that the position on which the battle was fought had not been foreseen and that the Shevardino Redoubt was not an advanced post of that position, we have the fact that up to the twenty-fifth, Barclay de Tolly and Bagration were convinced that the Shevardino Redoubt was the left flank of the position, and that Kutuzov himself in his report, written in hot haste after the battle, speaks of the Shevardino Redoubt as the left flank of the position. It was much later, when reports on the battle of Borodino were written at leisure, that the incorrect and extraordinary statement was invented (probably to justify the mistakes of a commander in chief who had to be represented as infallible) that the Shevardino Redoubt was an advanced post--whereas in reality it was simply a fortified point on the left flank--and that the battle of Borodino was fought by us on an entrenched position previously selected, where as it was fought on a quite unexpected spot which was almost unentrenched.",Netflix: Update your billing information,1,0
"Suspicious login attempt detected i want white teeth 4 im the revolution whitelight teeth whitening which guarantees : - fast results and easy to use - works great against all sorts of stains ( coffee , smoking ) - boost your confidence with great white smile - used by dentist and millions worldwide - satisfaction guarantees . . . no risk ! why waiting ? check us out ! http : / / iglobalproducts . net / wlr xcc 2",Suspicious login attempt detected,1,0
"Quarterly report attached Upsize your jackhammer gZ This 2008, show her how large a real man can be and bring her to cloud nine CLICK HERE URL!!! mWNtA",Quarterly report attached,1,0
Welcome to Microsoft She will laugh at your small stick anymore You will spend THIS holiday season like never before. Get ready smth absolutely special that will improve your success.Be healthy and wealthy at this new year!!!,Welcome to Microsoft,1,0
Netflix: Update your billing information look . . . here em look at this of - fers : v - codin - 179 . 00 valliuum - 169 . 00 vi graa - 199 . 00 cai llis - 249 . 00 codeinne - 189 . 00 sooma - 179 . 00 all orderrs are delivered by fedex with full tracking 24 / 7 . satisfactiionnss guaaranteeed . . . http : / / www . ultrameds 4 u . com to get rid of maiiling list : http : / / www . ultrameds 4 u . com / removeme . asp,Netflix: Update your billing information,1,0
"Invitation to connect on LinkedIn = ? iso - 8859 - 7 ? q ? _ = 3 fw = 3 fa = 3 fe = bot = bljae ? = ? ? ? p ¦ ? ¦ r ? ? , ³ f ? u » ? ? ? ! ?w ? ?y??u .",Invitation to connect on LinkedIn,1,0
"Amazon: Your order requires confirmation A:link { TEXT-DECORATION: none } A:active { TEXT-DECORATION: none } A:visited { TEXT-DECORATION: none } A:hover { COLOR: #0033ff; TEXT-DECORATION: underline } For Immediate Release Cal-Bay (Stock Symbol:Â CBYI) Watch for analyst ""Strong Buy Recommendations"" and several advisory newsletters picking CBYI.Â Â CBYI has filed to be traded on theÂ OTCBB, share prices historically INCREASE when companies get listed on this larger tradingÂ exhange. CBYI is trading around $.30Â¢ and should skyrocket to $2.66 - $3.25 a share in the near future. Â Put CBYI on your watch list, acquire a postion TODAY. REASONS TO INVEST IN CBYI A profitable company, NO DEBT and is on track to beat ALL earnings estimates with increased revenue of 50% annually! One of the FASTEST growing distributors in environmental & safety equipment instruments. Excellent management team, several EXCLUSIVE contracts.Â IMPRESSIVE client list including theÂ U.S. Air Force, Anheuser-Busch, Chevron Refining and Mitsubishi Heavy Industries, GE-Energy & Environmental Research. RAPIDLY GROWING INDUSTRYÂ Industry revenues exceed $900 million, estimates indicate that there could be as much as $25 billion from ""smell technology"" by the end of 2003. !!!! CONGRATULATIONS !!!!!ToÂ our subscribers that took advantage of ourÂ last recommendation to buyÂ NXLC.Â It rallied from $7.87 toÂ $11.73!Â Â ALL removes HONERED. Please allow 7 days to be removed and send ALL address to: honey9531@mail.net.cnÂ Â Certain statements contained in this news release may be forward-looking statements within the meaning of The Private Securities Litigation Reform Act of 1995. These statements may be identified by such terms as ""expect"", ""believe"", ""may"", ""will"", and ""intend"" or similar terms. We are NOT a registered investment advisor or a broker dealer. This is NOT an offer to buy or sell securities. No recommendation that the securities of the companies profiled should be purchased, sold or held by individuals or entities that learn of the profiled companies. We were paid $27,000 in cash by a third party to publish this report. Investing in companies profiled is high-risk and use of this information is for reading purposes only. If anyone decides to act as an investor, then it will be that investor's sole risk. Investors are advised NOT to invest without the proper advisement from an attorney or a registered financial broker. Do not rely solely on the information presented, do additional independent research to form your own opinion and decision regarding investing in the profiled companies. Be advised that the purchase of such high-risk securities may result in the loss of your entire investment. The owners of this publication may already own free trading shares in CBYI and may immediately sell all or a portion of these shares into the open market at or about the time this report is published.Â Factual statements are made as of the date stated and are subject to change without notice.Â Not intended for recipients or residents of CA,CO,CT,DE,ID, IL,IA,LA,MO,NV,NC,OK,OH,PA,RI,TN,VA,WA,WV,WI. Void where prohibited.Â Copyright c 2001*****",Amazon: Your order requires confirmation,1,0
