word_count,sentence_count,avg_word_length,noun_count,verb_count,adj_count,adv_count,entity_count,person_count,org_count,location_count,sentiment_polarity,sentiment_subjectivity,unique_words,lexical_diversity,label,text
353,21,5.138810198300283,52,21,16,14,42,15,8,1,0.09069264069264069,0.49166666666666653,198,0.5609065155807366,0,Your inquiry about support From fork-admin@xent.com Thu Sep 19 16:26:21 2002 Return-Path:  Delivered
48,4,6.541666666666667,17,5,9,4,3,0,3,0,0.32,0.48,45,0.9375,1,PayPal: Unusual activity on your account Here best that can bring to you pleasure FREE medical consu
124,8,4.338709677419355,19,18,7,7,7,5,0,1,0.048333333333333325,0.44833333333333336,95,0.7661290322580645,0,"Your password will expire in 24 hours bitbitch@magnesium.net wrote: > Well Beberg, unless you're rea"
44,4,3.409090909090909,11,2,3,0,2,1,0,1,-0.0625,0.55,42,0.9545454545454546,1,Final notice: Your account will be closed From Evan Adkins P lrm har jvd ma ek cy On bg line Over 2 
30,4,4.233333333333333,3,4,1,1,2,1,0,0,0.45,0.9,27,0.9,0,Invoice #404244 - Payment required Hi! You just spoke to MANEESHA V. We'd like to know if you were s
34,5,4.176470588235294,11,5,2,2,3,0,1,0,0.2,0.25625000000000003,34,1.0,0,Your subscription is expiring today Its a valentine game. . . send dis msg to all ur friends. . If 5
121,8,4.066115702479339,23,12,4,5,8,2,1,0,-0.15277777777777776,0.6986111111111111,90,0.743801652892562,0,"Your package cannot be delivered Re: [Python-Dev] generated NEWS files On Thu, Apr 10, 2008 at 6:24 "
201,9,5.711442786069652,58,15,20,8,15,3,2,1,0.17833333333333334,0.4705555555555555,134,0.6666666666666666,0,Your password will expire in 24 hours available for review the book listed below is in the linguist 
744,29,5.740591397849462,239,73,50,9,56,11,15,7,0.08593073593073591,0.4650072150072149,346,0.4650537634408602,0,Your package cannot be delivered [UAI] CFP: Changes'05 -- Workshop on Constraint Solving under Chang
43,4,5.27906976744186,7,5,4,0,11,7,1,1,0.43619047619047624,0.5352380952380953,36,0.8372093023255814,1,"Action required: Confirm your identity Choice IWC replica watches at Replica Classics Rolex, Patek P"
322,22,4.472049689440993,73,28,25,13,20,2,2,0,0.16075937950937952,0.4799783549783549,181,0.562111801242236,0,"Job application received enron at a glance reminder just a quick reminder , if you have not register"
33,4,6.151515151515151,9,4,2,2,3,0,2,0,0.625,0.5,31,0.9393939393939394,1,Thank you for your feedback Mall for Man's Add more fire to your relations. Casanova style of life. 
29,1,3.3448275862068964,5,1,0,0,7,0,0,1,0.0,0.0,22,0.7586206896551724,1,Your package cannot be delivered Price for Viagra 100mg x 90 pills US $ 1.78 Per Pill US $ 69.95 Pic
60,6,4.866666666666666,13,7,6,2,5,1,0,0,0.3428571428571428,0.5119047619047619,54,0.9,1,Delivery scheduled for Monday Male enhancing supplement Dear c202f8eb239faf8d4b0a5c6a41cde453 Summer
352,24,5.261363636363637,50,34,11,5,48,12,7,1,-0.034374999999999996,0.4982638888888889,195,0.5539772727272727,0,Conference registration confirmed From fork-admin@xent.com Mon Sep 9 14:34:38 2002 Return-Path:  Del
592,42,4.783783783783784,146,91,27,17,41,2,7,0,0.18327082400358266,0.5574563367666816,292,0.49324324324324326,0,Your inquiry about features Important Product Notification 24/7 Sales & Support: (480) 505-8877 Rene
149,4,2.6778523489932886,91,9,6,2,12,0,0,0,-0.06388888888888888,0.7055555555555556,58,0.38926174496644295,1,"Apple ID: Verify your account Easy 30-50% Return?Learn how you can receive a monthly check for 3, 4,"
